lambda	f0	f1	fla
0.0	232313.06166626798	1.4639184449285553e6	232313.06166626798
0.00256	232476.57663820172	1.4637377593328953e6	235628.60526590014
0.00512	232648.8494191682	1.4635270504905535e6	238950.9458086537
0.007680000000000001	232828.33368860962	1.4633006073600366e6	242278.36075040617
0.01024	233011.9144340489	1.4630612362435898e6	245607.6194893786
0.0128	233201.12714271212	1.4628142176058725e6	248940.17470064055
0.01536	233414.3621693971	1.462539671261542e6	252293.72691705244
0.017920000000000002	233642.4938143981	1.4622506612032824e6	255659.1521740069
0.02048	233884.7971363763	1.4619468261921098e6	259035.50749143772
0.02304	234144.1358335149	1.4616265187528539e6	262425.3299359765
0.0256	234421.30264708996	1.461288622707759e6	265829.1060406431
0.02816	234717.36194880257	1.460933140319129e6	269247.598267711
0.03072	235031.09830582124	1.460586762083455e6	272680.16829707014
0.033280000000000004	235398.0006370173	1.4602304315343262e6	276160.42393727973
0.035840000000000004	235785.85945623153	1.4598707463932154e6	279657.061804053
0.038400000000000004	236197.83429875443	1.459503499717922e6	283172.7718508505
0.04096	236640.77191604694	1.459128993064792e6	286713.8894542995
0.04352	237116.81818529914	1.4587485683568395e6	290282.23195276456
0.04608	237625.19550858316	1.4583742793356287e6	293877.3132913334
0.04864	238184.05951329198	1.4579959612391614e6	297515.71041323827
0.0512	238805.08968673582	1.4576141009676591e6	301208.1110643191
0.05376	239521.74337830342	1.457221111441371e6	304985.2614053739
0.05632	240432.98323437682	1.4567795057184114e6	308937.61938067764
0.057600000000000005	241350.65422342045	1.4563514347798517e6	311334.6991834709
0.060160000000000005	242554.4409074586	1.4558092171003143e6	315543.8482432208
0.06272000000000001	243701.45610325015	1.455334222535103e6	319695.06321385596
0.06528000000000002	244665.0789328078	1.4549377723651635e6	323671.68036007206
0.06784000000000003	245424.79018959796	1.4546211333862767e6	327456.6701120607
0.07040000000000003	246043.0614557933	1.4543639736147053e6	331108.8536717808
0.07296000000000004	246566.6223409683	1.4541439436274655e6	334671.4637020312
0.07552000000000005	247035.28035474828	1.4539455107078427e6	338181.140951014
0.07808000000000005	247486.84331691996	1.4537715467326911e6	341673.5529596234
0.08064000000000006	247929.67637877312	1.4536289276554189e6	345157.26400172187
0.08320000000000007	248390.22426161863	1.453506049969967e6	348655.8609605533
0.08576000000000007	248829.14177902945	1.4534002707673055e6	352133.1618010641
0.08832000000000008	249253.39160545194	1.4532966676350296e6	355594.4937443844
0.09088000000000009	249669.32684967556	1.453199561465722e6	359046.154571582
0.09344000000000009	250084.639883796	1.4531070825927202e6	362495.056930518
0.0960000000000001	250502.7088078888	1.4530171077574403e6	365944.0911070459
