lambda	f0	f1	fla
0.0	35523.102792027435	3.701375119519852e7	35523.102792027435
0.00064	35536.090144871094	3.701331745477314e7	59201.87021823319
0.00128	35542.22305431637	3.701312869644016e7	82873.53374025025
0.0019200000000000003	35546.08167314027	3.701301433391792e7	106542.82071745026
0.00256	35548.766144625435	3.701294021690397e7	130210.88825856936
0.0032	35550.93349908866	3.701288779066861e7	153878.41144203112
0.00384	35552.620370848505	3.701285098741031e7	177545.44610028
0.0044800000000000005	35554.0740951137	3.701282314846243e7	201212.2395482793
0.00512	35555.3556467404	3.701280131190436e7	224878.85494277944
0.00576	35556.53248661938	3.701278339671806e7	248545.35922459248
0.0064	35557.6337596169	3.701276813337365e7	272211.7809571467
0.00704	35558.68810632844	3.7012754600542165e7	295878.1473298767
0.00768	35559.71166938944	3.701274222242725e7	319544.4733520098
0.008320000000000001	35560.71834286383	3.70127305665969e7	343210.7714803375
0.008960000000000001	35561.711528699634	3.7012719432727374e7	366877.04471063975
0.009600000000000001	35562.69724360499	3.701270860923907e7	390543.2979987615
0.01024	35563.67815901165	3.7012698001503296e7	414209.5336300571
0.01088	35564.65547498339	3.701268754609698e7	437875.7525249507
0.01152	35565.63114064406	3.701267717466199e7	461541.95612200996
0.01216	35566.60633223603	3.701266685913266e7	485208.1454062892
0.0128	35567.58189728836	3.701265656678375e7	508874.32090383506
0.01344	35568.55437593068	3.701264637791626e7	532540.4803243128
0.01408	35569.52774590901	3.701263621713908e7	556206.6267325649
0.01472	35570.50266846478	3.701262603977384e7	579872.7601746558
0.01536	35571.47919464675	3.701261584526857e7	603538.8806575423
0.016	35572.4571648906	3.7012605635420695e7	627204.9880169835
0.016640000000000002	35573.43656780065	3.701259541014596e7	650871.0822081413
0.017280000000000004	35574.417369052935	3.7012585170067176e7	674537.1631756766
0.017920000000000005	35575.399508471346	3.701257491526384e7	698203.2308308077
0.018560000000000007	35576.383020279245	3.701256464616548e7	721869.2851842545
0.01920000000000001	35577.367956334594	3.701255436171489e7	745535.3262364992
0.01984000000000001	35578.354213331724	3.701254406317934e7	769201.3538792176
0.020480000000000012	35579.34188375882	3.701253374960914e7	792867.3681539751
0.021120000000000014	35580.33088089164	3.701252342170239e7	816533.3689590422
0.021760000000000015	35581.3213044029	3.701251307850136e7	840199.3563410093
0.022400000000000017	35582.31312008645	3.701250272048014e7	863865.3302449522
0.02304000000000002	35583.306214940014	3.701249234844029e7	887531.2905478128
0.02368000000000002	35584.300805750485	3.701248196052714e7	911197.2373879537
0.024320000000000022	35585.29677687239	3.701247155793858e7	934863.1706483259
0.024960000000000024	35586.294083682405	3.701246114086704e7	958529.0902593959
0.025600000000000026	35587.29284147814	3.701245070866004e7	982194.9962864341
0.026240000000000027	35588.292987466724	3.70124402612163e7	1.0058608886337923e6
0.02688000000000003	35589.29451141171	3.701242979928386e7	1.0295267672796962e6
0.02752000000000003	35590.29742007019	3.7012419322323784e7	1.0531926321854214e6
0.028160000000000032	35591.30178824399	3.701240882962108e7	1.0768584833720177e6
0.028800000000000034	35592.30754778957	3.701239832230274e7	1.1005243207727333e6
0.029440000000000036	35593.314753191626	3.701238779914623e7	1.1241901443737238e6
0.030080000000000037	35594.323310001826	3.701237726183187e7	1.147855954100741e6
0.03072000000000004	35595.33333570663	3.701236670872472e7	1.1715217499876586e6
0.03136000000000004	35596.34475368864	3.701235614054884e7	1.195187531949826e6
0.03200000000000004	35597.357634091226	3.7012345556705825e7	1.2188533000043884e6
0.032640000000000044	35598.37190774369	3.701233495824366e7	1.2425190540857497e6
0.033280000000000046	35599.38763360243	3.701232434377995e7	1.2661847941741548e6
0.03392000000000005	35600.40478866092	3.7012313714421354e7	1.2898505202514036e6
0.03456000000000005	35601.42339554897	3.701230306902545e7	1.31351623226852e6
0.03520000000000005	35602.443446064164	3.701229240846028e7	1.3371819302145666e6
0.03584000000000005	35603.46491152575	3.701228173249599e7	1.3608476140217548e6
0.036480000000000054	35604.48782437331	3.70122710413923e7	1.3845132836985332e6
0.037120000000000056	35605.51221321438	3.701226033432972e7	1.4081789392101811e6
0.03776000000000006	35606.5380144003	3.7012249612032264e7	1.431844580489317e6
0.03840000000000006	35607.56531493526	3.7012238873613715e7	1.4555102075536104e6
0.03904000000000006	35608.594089460224	3.7012228119569756e7	1.4791758203642133e6
0.03968000000000006	35609.624301761316	3.701221734980624e7	1.5028414188497814e6
0.040320000000000064	35610.655950624496	3.701220656510298e7	1.5265070030076497e6
0.040960000000000066	35611.689097893635	3.701219576377253e7	1.5501725727965692e6
0.04160000000000007	35612.72370969256	3.70121849471123e7	1.5738381282032435e6
0.04224000000000007	35613.75980470266	3.70121741144895e7	1.5975036691865912e6
0.04288000000000007	35614.79736997624	3.701216326587489e7	1.6211691956994697e6
0.04352000000000007	35615.83642907148	3.701215240134519e7	1.6448347077342237e6
0.044160000000000074	35616.87695868591	3.7012141521400735e7	1.6685002052572495e6
0.044800000000000076	35617.91900676035	3.701213062472231e7	1.6921656882228197e6
0.04544000000000008	35618.96252747882	3.701211971271968e7	1.7158311566162151e6
0.04608000000000008	35620.007519094695	3.701210878441602e7	1.7394966103585078e6
0.04672000000000008	35621.054017601826	3.701209784009983e7	1.7631620494633664e6
0.04736000000000008	35622.10205773605	3.701208687939673e7	1.7868274739125138e6
0.048000000000000084	35623.15157968226	3.7012075902249604e7	1.8104928836118416e6
0.048640000000000086	35624.20258085564	3.701206490970975e7	1.8341582785756083e6
0.04928000000000009	35625.255077969545	3.7012053901317455e7	1.8578236587646548e6
0.04992000000000009	35626.30914568961	3.701204287575459e7	1.881489024150809e6
0.05056000000000009	35627.36471719515	3.7012031834189e7	1.905154374693693e6
0.05120000000000009	35628.42177793212	3.701202077667649e7	1.9288197103487418e6
0.051840000000000094	35629.48038029568	3.701200970238461e7	1.952485031089003e6
0.052480000000000096	35630.540498858136	3.701199861205481e7	1.976150336894118e6
0.0531200000000001	35631.60219538911	3.701198750466751e7	1.9998156277347119e6
0.0537600000000001	35632.66540138897	3.701197638101451e7	2.023480903552754e6
0.0544000000000001	35633.73011513826	3.701196524108884e7	2.0471461643121112e6
0.0550400000000001	35634.79640957993	3.701195408472885e7	2.0708114100386766e6
0.055680000000000104	35635.86417954138	3.7011942911850184e7	2.0944766405938468e6
0.056320000000000106	35636.93356926999	3.701193172197462e7	2.118141856052263e6
0.05696000000000011	35638.00448177894	3.7011920515749045e7	2.1418070563235665e6
0.05760000000000011	35639.076958520265	3.701190929255317e7	2.165472241376776e6
0.05824000000000011	35640.15097135983	3.701189805281299e7	2.189137411174621e6
0.05888000000000011	35641.22656463358	3.701188679619242e7	2.212802565704322e6
0.059520000000000114	35642.30367997833	3.701187552347585e7	2.236467704922233e6
0.060160000000000116	35643.38241916271	3.7011864232831836e7	2.2601328287799936e6
0.06080000000000012	35644.46266386655	3.701185292633574e7	2.283797937255121e6
0.06144000000000012	35645.54458455983	3.701184160165337e7	2.3074630303308717e6
0.06208000000000012	35646.62798530146	3.701183026138773e7	2.3311281079469286e6
0.06272000000000012	35647.71306337591	3.7011818902779296e7	2.354793170082363e6
0.06336000000000012	35648.79961051942	3.701180752856498e7	2.3784582166770785e6
0.06400000000000013	35649.887843859375	3.701179613629163e7	2.4021232477445216e6
0.06464000000000013	35650.97762294919	3.7011784727465056e7	2.425788263212748e6
0.06528000000000013	35652.06898735051	3.701177330135573e7	2.449453263036363e6
0.06592000000000013	35653.161977038304	3.7011761857982896e7	2.4731182472177492e6
0.06656000000000013	35654.256551730636	3.701175039743184e7	2.496783215688716e6
0.06720000000000013	35655.35271974892	3.701173891954937e7	2.5204481684107045e6
0.06784000000000014	35656.45051589314	3.701172742457955e7	2.544113105396377e6
0.06848000000000014	35657.54993984339	3.701171591170351e7	2.5677780265534245e6
0.06912000000000014	35658.65099338971	3.701170438174658e7	2.5914429319030554e6
0.06976000000000014	35659.75358979344	3.7011692835067905e7	2.615107821353712e6
0.07040000000000014	35660.85785095196	3.701168127035185e7	2.63877269489102e6
0.07104000000000014	35661.96375279651	3.701166968806503e7	2.662437552487943e6
0.07168000000000015	35663.07125948497	3.701165808837271e7	2.6861023940861663e6
0.07232000000000015	35664.180433323854	3.701164647091754e7	2.709767219681148e6
0.07296000000000015	35665.29121712028	3.7011634836284906e7	2.7334320292252717e6
0.07360000000000015	35666.40362918579	3.701162318407015e7	2.7570968226696462e6
0.07424000000000015	35667.51775796668	3.70116115132974e7	2.78076159998682e6
0.07488000000000015	35668.6334816861	3.701159982548197e7	2.8044263611386735e6
0.07552000000000016	35669.75086965748	3.701158811972881e7	2.8280911060859067e6
0.07616000000000016	35670.86990747106	3.701157639600739e7	2.8517558347752467e6
0.07680000000000016	35671.99061299351	3.7011564654753655e7	2.8754205472190026e6
0.07744000000000016	35673.11294433638	3.701155289557565e7	2.899085243311311e6
0.07808000000000016	35674.23698114351	3.701154111854806e7	2.922749923093894e6
0.07872000000000016	35675.36265584432	3.701152932338157e7	2.94641458644418e6
0.07936000000000017	35676.49009419861	3.701151750981138e7	2.97007923341896e6
0.08000000000000017	35677.61910359886	3.7011505678853065e7	2.9937438638835624e6
0.08064000000000017	35678.749867259365	3.7011493829293534e7	3.0174084778722003e6
0.08128000000000017	35679.88226077372	3.701148196223462e7	3.041073075321054e6
0.08192000000000017	35681.01638279046	3.701147007626753e7	3.0647376561685554e6
0.08256000000000017	35682.15219058056	3.701145817218093e7	3.08840222040099e6
0.08320000000000018	35683.28968667115	3.701144625018178e7	3.1120667679998707e6
0.08384000000000018	35684.42885595908	3.70114343102358e7	3.1357312989108516e6
0.08448000000000018	35685.56977463409	3.7011422351007484e7	3.1593958130531916e6
0.08512000000000018	35686.71241901484	3.7011410373565644e7	3.183060310455823e6
0.08576000000000018	35687.85672387968	3.701139837823653e7	3.2067247910488117e6
0.08640000000000018	35689.00281251435	3.701138636351043e7	3.230389254776821e6
0.08704000000000019	35690.150556696164	3.7011374331259504e7	3.2540537016450753e6
0.08768000000000019	35691.30001594232	3.701136228016251e7	3.2777181315552006e6
0.08832000000000019	35692.45131807616	3.701135020972361e7	3.3013825445404593e6
0.08896000000000019	35693.60415558025	3.701133812252508e7	3.3250469405097384e6
0.0896000000000002	35694.75890664421	3.701132601462236e7	3.348711319418779e6
0.0902400000000002	35695.91533020974	3.7011313888735704e7	3.3723756812503287e6
0.0908800000000002	35697.07345414026	3.701130174449611e7	3.3960400259584417e6
0.0915200000000002	35698.23338614189	3.7011289580954105e7	3.419704353515569e6
0.0921600000000002	35699.395025675505	3.701127739882857e7	3.443368663856158e6
0.0928000000000002	35700.5584595076	3.7011265197477624e7	3.4670329569603964e6
0.0934400000000002	35701.72362993659	3.701125297754954e7	3.4906972327961917e6
0.0940800000000002	35702.890607982925	3.701124073797918e7	3.5143614912886727e6
0.0947200000000002	35704.05935258208	3.701122847946163e7	3.538025732425319e6
0.09536000000000021	35705.22982861699	3.7011216202245854e7	3.5616899561583325e6
0.09600000000000021	35706.40208452835	3.701120390569885e7	3.585354162431511e6
0.09664000000000021	35707.57609813996	3.701119159059883e7	3.609018351259494e6
0.09728000000000021	35708.75193440897	3.701117925553373e7	3.632682522524559e6
0.09792000000000022	35709.92955518519	3.701116690148419e7	3.6563466762464815e6
0.09856000000000022	35711.10892978722	3.701115452829808e7	3.6800108123427345e6
0.09920000000000022	35712.290129444526	3.701114213532568e7	3.7036749307729187e6
0.09984000000000022	35713.473159426714	3.701112972287718e7	3.7273390315312557e6
0.10048000000000022	35714.65790679103	3.701111729185263e7	3.751003114565677e6
0.10112000000000022	35715.84455613301	3.701110484061807e7	3.774667179837924e6
0.10176000000000023	35717.0329487946	3.7011092370403e7	3.798331227288143e6
0.10240000000000023	35718.22317390927	3.701107988044745e7	3.821995256878728e6
0.10304000000000023	35719.415265168056	3.7011067370025784e7	3.8456592685237103e6
0.10368000000000023	35720.60917078104	3.701105484050903e7	3.869323262275939e6
0.10432000000000023	35721.80487936157	3.701104229130159e7	3.892987238022937e6
0.10496000000000023	35723.00243889958	3.701102972213985e7	3.9166511957387202e6
0.10560000000000024	35724.20181214247	3.70110171335866e7	3.940315135407534e6
0.10624000000000024	35725.40305772247	3.701100452473655e7	3.9639790569448904e6
0.10688000000000024	35726.606085386	3.701099189686102e7	3.987642960363494e6
0.10752000000000024	35727.81099106547	3.701097924814958e7	4.011306845514358e6
0.10816000000000024	35729.01785940583	3.701096657889846e7	4.034970712461399e6
0.10880000000000024	35730.22645318272	3.7010953890765935e7	4.0586345611304194e6
0.10944000000000025	35731.43691132311	3.701094118270686e7	4.0822983914911957e6
0.11008000000000025	35732.64931269197	3.7010928453536764e7	4.105962203441687e6
0.11072000000000025	35733.86355671981	3.701091570433499e7	4.129625996967699e6
0.11136000000000025	35735.07966756444	3.701090293495617e7	4.153289772032513e6
0.11200000000000025	35736.29766489728	3.7010890145766795e7	4.176953528652319e6
0.11264000000000025	35737.51753202457	3.701087733589651e7	4.200617266672609e6
0.11328000000000026	35738.739308211254	3.70108645057368e7	4.224280986129251e6
0.11392000000000026	35739.96299946873	3.701085165473082e7	4.247944686921514e6
0.11456000000000026	35741.18855530755	3.7010838783645734e7	4.271608369048877e6
0.11520000000000026	35742.41602283151	3.701082589200782e7	4.295272032456311e6
0.11584000000000026	35743.6453778313	3.701081297978835e7	4.318935677075956e6
0.11648000000000026	35744.87666096925	3.7010800046893395e7	4.342599302889652e6
0.11712000000000027	35746.10990195942	3.7010787092912436e7	4.366262909832156e6
0.11776000000000027	35747.34504607913	3.701077411857542e7	4.389926497896904e6
0.11840000000000027	35748.582046685355	3.701076112385287e7	4.413590066996548e6
0.11904000000000027	35749.82102984703	3.701074810803235e7	4.437253617114635e6
0.11968000000000027	35751.061921533816	3.7010735071299516e7	4.460917148163901e6
0.12032000000000027	35752.30476818661	3.7010722013642676e7	4.484580660139975e6
0.12096000000000028	35753.549567018235	3.7010708934406556e7	4.508244152917218e6
0.12160000000000028	35754.796312184284	3.701069583524564e7	4.531907626646503e6
0.12224000000000028	35756.044974921664	3.701068271461013e7	4.55557108107114e6
0.12288000000000028	35757.295672038024	3.701066957215602e7	4.5792345162064005e6
0.12352000000000028	35758.54822478716	3.701065640971347e7	4.60289793207588e6
0.12416000000000028	35759.80282963491	3.701064322493661e7	4.626561328518448e6
0.12480000000000029	35761.05939505249	3.7010630018857405e7	4.650224705535965e6
0.12544000000000027	35762.317887473444	3.701061679232671e7	4.673888063161141e6
0.12608000000000028	35763.57840105133	3.7010603543472014e7	4.697551401197208e6
0.12672000000000028	35764.84086685629	3.70105902739785e7	4.721214719750774e6
0.12736000000000028	35766.10534415834	3.701057698255762e7	4.744878018666076e6
0.12800000000000028	35767.37183019212	3.7010563669679955e7	4.768541297954972e6
0.12864000000000028	35768.64029075085	3.701055033542753e7	4.792204557553156e6
0.12928000000000028	35769.91074632583	3.701053697906648e7	4.815867797338767e6
0.12992000000000029	35771.18324982878	3.701052360136952e7	4.83953101741195e6
0.1305600000000003	35772.45767958444	3.70105102025592e7	4.863194217651078e6
0.1312000000000003	35773.73418600654	3.701049678082519e7	4.886857397905079e6
0.1318400000000003	35775.01278126523	3.701048333730211e7	4.910520558286104e6
0.1324800000000003	35776.29330548058	3.701046987246318e7	4.934183698672304e6
0.1331200000000003	35777.57593448883	3.701045638513503e7	4.957846819015276e6
0.1337600000000003	35778.86054581399	3.701044287599354e7	4.981509919252113e6
0.1344000000000003	35780.14723388722	3.7010429344710514e7	5.005172999374757e6
0.1350400000000003	35781.43593255981	3.701041579167652e7	5.028836059332236e6
0.1356800000000003	35782.72669418902	3.7010402215987146e7	5.052499099001469e6
0.1363200000000003	35784.01953590049	3.701038861828825e7	5.076162118437831e6
0.1369600000000003	35785.31441621684	3.701037499833135e7	5.099825117525245e6
0.1376000000000003	35786.61137958776	3.701036135584689e7	5.1234880962183e6
0.1382400000000003	35787.910421333865	3.7010347690528065e7	5.1471510544233e6
0.1388800000000003	35789.21150970072	3.7010334003724605e7	5.170813992252518e6
0.1395200000000003	35790.514617461005	3.701032029459587e7	5.19447690952006e6
0.1401600000000003	35791.81995584664	3.701030656173107e7	5.2181398061630735e6
0.1408000000000003	35793.1273174104	3.70102928066216e7	5.241802682163453e6
0.14144000000000032	35794.43674488948	3.701027902923378e7	5.265465537506531e6
0.14208000000000032	35795.748326654655	3.7010265228923246e7	5.2891283721298305e6
0.14272000000000032	35797.061938400475	3.7010251406251416e7	5.312791185958766e6
0.14336000000000032	35798.37776988879	3.701023755952944e7	5.33645397886695e6
0.14400000000000032	35799.695607164205	3.701022369131702e7	5.360116750989395e6
0.14464000000000032	35801.015657124495	3.70102097989513e7	5.383779502072806e6
0.14528000000000033	35802.33779178007	3.701019588431155e7	5.407442232230184e6
0.14592000000000033	35803.66206568914	3.701018194636783e7	5.43110494131107e6
0.14656000000000033	35804.98848990519	3.701016798528163e7	5.454767629299712e6
0.14720000000000033	35806.31701044864	3.7010154001112394e7	5.478430296110267e6
0.14784000000000033	35807.6477243003	3.701013999363472e7	5.50209294174371e6
0.14848000000000033	35808.98059001697	3.7010125962245554e7	5.525755566026243e6
0.14912000000000034	35810.31566479102	3.701011190793727e7	5.549418169104476e6
0.14976000000000034	35811.65278470839	3.701009783088707e7	5.573080750817331e6
0.15040000000000034	35812.99210148745	3.701008372981317e7	5.5967433110533375e6
0.15104000000000034	35814.33360356259	3.701006960561836e7	5.62040584988869e6
0.15168000000000034	35815.67735027462	3.701005545655587e7	5.644068367060193e6
0.15232000000000034	35817.023211913285	3.7010041285183325e7	5.667730862795412e6
0.15296000000000035	35818.37130450595	3.701002708933885e7	5.691393336815052e6
0.15360000000000035	35819.72158201584	3.7010012869924635e7	5.7150557891674545e6
0.15424000000000035	35821.07403725501	3.700999862671975e7	5.738718219763016e6
0.15488000000000035	35822.42869869603	3.700998435974047e7	5.762380628578459e6
0.15552000000000035	35823.78559759498	3.7009970068955086e7	5.786043015585365e6
0.15616000000000035	35825.14470586803	3.700995575344005e7	5.809705380565812e6
0.15680000000000036	35826.50601641383	3.7009941414261565e7	5.833367723629267e6
0.15744000000000036	35827.86954090767	3.700992705138976e7	5.857030044731204e6
0.15808000000000036	35829.23538294201	3.700991266334721e7	5.880692343675546e6
0.15872000000000036	35830.603374440194	3.700989825199974e7	5.904354620564261e6
0.15936000000000036	35831.97362843312	3.700988381591824e7	5.928016875215749e6
0.16000000000000036	35833.34616493221	3.700986935559397e7	5.951679107673592e6
0.16064000000000037	35834.720971064904	3.7009854870203316e7	5.9753413177437475e6
0.16128000000000037	35836.09799156145	3.700984036101437e7	5.999003505531894e6
0.16192000000000037	35837.47729203028	3.700982582703918e7	6.022665670883102e6
