lambda	f0	f1	fla
0.0	18685.841819896938	1.5090317473241558e7	18685.841819896938
0.00064	18661.861817312492	1.5090132763492594e7	28307.603194384676
0.00128	18650.102434255972	1.5090032563349033e7	37941.47198422689
0.0019200000000000003	18643.398375072356	1.5089964578830581e7	47580.33504154693
0.00256	18639.206821438125	1.508991130685329e7	57221.663397519675
0.0032	18636.184894698843	1.5089869705219543e7	66864.13215973835
0.00384	18634.078512718144	1.508983600560687e7	76507.49391275969
0.0044800000000000005	18632.667885320567	1.5089806562763363e7	86151.52693437421
0.00512	18631.5627300251	1.5089780517987784e7	95795.84538094483
0.00576	18630.82346442191	1.5089758056010839e7	105440.51632388929
0.0064	18630.31236945978	1.5089737368230637e7	115085.39752697133
0.00704	18630.012151287385	1.5089718367090363e7	124730.47417005847
0.00768	18629.85262971262	1.5089701389379747e7	134375.6820319529
0.008320000000000001	18629.773534270043	1.5089685474858044e7	144020.95696928384
0.008960000000000001	18629.868960215757	1.5089670455927245e7	153666.39261944033
0.009600000000000001	18630.025170205143	1.5089655900752427e7	163311.87357579448
0.01024	18630.253188093877	1.5089642482460372e7	172957.41841584202
0.01088	18630.57227594506	1.5089629386137523e7	182603.03937075904
0.01152	18630.91469624534	1.5089617009513699e7	192248.6745085424
0.01216	18631.31959539131	1.508960500756403e7	201894.35964108998
0.0128	18631.757481648234	1.5089593304036597e7	211540.0652775516
0.01344	18632.239027280433	1.5089581984981619e7	221185.80361290675
0.01408	18632.757559132577	1.5089571001106333e7	230831.56802827716
0.01472	18633.308834075444	1.5089560091143802e7	240477.35106967462
0.01536	18633.861670022736	1.5089549843878511e7	250123.13115674513
0.016	18634.447824761544	1.5089539658868078e7	259768.9312014546
0.016640000000000002	18635.056355665314	1.5089529584797503e7	269414.7413089375
0.017280000000000004	18635.69137535054	1.5089519547246115e7	279060.5644047974
0.017920000000000005	18636.34079773094	1.5089509913463295e7	288706.3952198979
0.018560000000000007	18637.00482345355	1.5089500246329164e7	298352.22658579965
0.01920000000000001	18637.67990066071	1.5089490709689261e7	307998.05807260197
0.01984000000000001	18638.363656496844	1.5089481448261697e7	317643.8904550642
0.020480000000000012	18639.078688858088	1.5089472066326872e7	327289.73827568477
0.021120000000000014	18639.784769744918	1.5089462917112807e7	336935.5693248306
0.021760000000000015	18640.51207334996	1.5089453797361502e7	346581.4091612204
0.022400000000000017	18641.244240067797	1.5089444736899026e7	356227.24247562874
0.02304000000000002	18641.985783942935	1.5089435786651313e7	365873.0749559274
0.02368000000000002	18642.731475713328	1.5089426948623078e7	375518.90173776326
0.024320000000000022	18643.485902710505	1.5089418150186332e7	385164.7257380885
0.024960000000000024	18644.245219585307	1.5089409471452404e7	394810.54526635684
0.025600000000000026	18645.011212463327	1.5089400833768431e7	404456.36026989645
0.026240000000000027	18645.781886067012	1.5089392247321771e7	414102.1691391003
0.02688000000000003	18646.555525830594	1.5089383746255388e7	423747.97121264157
