lambda	f0	f1	fla
0.0	297350.4504775336	1.1136831339210337e6	297350.4504775336
0.04096	298838.6173261206	1.1131602946821218e6	332193.2332306224
0.08192	302791.596674331	1.1119615856056819e6	369078.8021675873
0.12288000000000002	312023.8488199277	1.1094727078477582e6	410014.3646172675
0.16384	322202.8216221858	1.107084065180555e6	450797.76456678903
0.2048	331566.68745169503	1.1059915871780645e6	490168.90691565553
0.24576	342746.39512849634	1.1063586350804735e6	530411.7392190943
0.28672000000000003	347535.5694671342	1.1049673320477894e6	564706.4044342596
0.32768	351707.27801448293	1.1037236119990032e6	598127.9903345306
0.36864	355458.5141433437	1.102254908930297e6	630757.5371176061
0.4096	358689.63338719273	1.0999983804166727e6	662329.6961704678
0.45056	361705.03962352383	1.0974382943755258e6	693197.0148845857
0.49152	364622.9647650628	1.0945809030065686e6	723411.8905695277
0.5324800000000001	367994.3335762862	1.0916821967700962e6	753343.6469697261
0.5734400000000001	371963.1589426565	1.087955852624814e6	782542.0092077529
0.6144000000000001	375881.3725537264	1.0827595461628241e6	810187.3224191561
0.65536	382093.5130776336	1.070764551070624e6	833420.9645367198
0.69632	391301.6738806077	1.0484155859712996e6	848863.2331475983
0.73728	398852.1180801231	1.0249081532934774e6	860430.711722225
0.77824	405630.93673075596	996798.3488118211	865701.0635087241
0.8192	411881.7048145565	968756.7142384527	868073.7125346123
0.86016	415015.38431898004	947141.4862247193	872728.9721342208
0.8704000000000001	416240.59052494966	937694.9965219023	870114.5055046972
0.8729600000000001	419007.8329255457	918730.421763191	855245.6640772566
0.8832000000000001	420076.57943031413	911213.3603333663	853848.5843238899
0.8883200000000001	420342.4355195647	909152.928267044	854562.5724370056
0.8934400000000001	421234.4067532818	901711.7212557346	850512.0586223532
0.8935200000000001	421267.53274712013	901431.4886732325	850303.6306462201
0.8935600000000001	421284.7136915099	901286.6455188673	850195.2398951635
0.8935800000000002	421293.19087572634	901215.1705479706	850141.8734712504
0.8935900000000001	421297.1769653144	901182.2055213889	850117.639632737
0.8936000000000001	423259.5438982193	885493.8383550318	836312.1094248269
0.9038400000000001	425859.15296546445	862543.472612707	820551.9084354282
0.9243200000000001	430341.78047350224	815585.3703166284	786430.1354373007
0.9345600000000002	434676.14383216633	761825.5466189748	740416.8897006061
0.9396800000000002	436040.17798393953	740495.3034531744	722130.5702848702
0.9499200000000002	439457.23939971963	680694.5996893998	668613.4326860927
0.9524800000000002	443273.2370542745	605894.3115456942	598166.558085862
0.9550400000000002	444195.9770916723	584351.162837958	578049.785686805
0.9576000000000002	447135.483332575	518881.5037150495	515839.47245083255
0.9985600000000002	450196.0	450196.0	450196.0
