lambda	f0	f1	fla
0.0	236045.73000444888	1.4533359710303736e6	236045.73000444888
0.08192	261651.89613005554	1.4438673551502242e6	358498.98653298774
0.16384	295070.7137797146	1.437291650006425e6	482212.1919710989
0.24576000000000003	331474.7057636094	1.4243251898737964e6	600053.640738529
0.32768	343139.2567837079	1.4174759013160854e6	695177.8884640774
0.4096	350413.2051797378	1.408101625912115e6	783642.3823117196
0.49152	362083.51966917	1.3905638902250938e6	867602.1914048176
0.5734400000000001	365725.30789455556	1.381058725682191e6	947958.1029906974
0.65536	369277.52161803306	1.3653203122782265e6	1.0220441249050974e6
0.73728	377018.15487433097	1.3249608691778267e6	1.0759173592760123e6
0.8192	379761.27706627775	1.3048306599383964e6	1.1375781155151175e6
0.86016	381366.7097245589	1.286985833169795e6	1.1603440549472133e6
0.94208	381366.7097245589	1.286985833169795e6	1.234532373539847e6
0.9472	381366.7097245589	1.286985833169795e6	1.2391691434518867e6
0.94976	381366.7097245589	1.286985833169795e6	1.2414875284079064e6
0.95008	381366.7097245589	1.286985833169795e6	1.2417773265274088e6
0.9501200000000001	381366.7097245589	1.286985833169795e6	1.2418135512923468e6
0.9501400000000001	381366.7097245589	1.286985833169795e6	1.2418316636748158e6
0.95015	381366.7097245589	1.286985833169795e6	1.2418407198660502e6
0.95016	426506.00000000006	426506.0	426506.0
