lambda	f0	f1	fla
0.0	15309.585679519867	568127.339862367	15309.585679519867
0.04096	28934.284579741987	568095.6315840336	51018.33335303777
0.08192	38503.67561985685	567213.5139979613	81815.58557979116
0.12288000000000002	42892.49596190992	566408.0041957297	107222.08161368172
0.16384	47619.833267256596	564919.0053047567	132374.12961388062
0.2048	52081.91351419904	562719.2146742314	156660.43279177367
0.24576	54398.44974967774	561276.9774409191	178968.9167150772
0.28672000000000003	55147.11431266849	560690.3581527988	200096.47318651067
0.32768	55727.3086916922	560115.9276003739	221005.371335689
0.36864	56302.48028174913	559421.6584707286	241772.33412933451
0.4096	56904.87823389386	558519.7316662688	262366.32219979464
0.45056	58257.86335019662	556334.0064472044	282671.05038398446
0.49152	60641.290836903565	551834.126208299	302072.39327865187
0.5324800000000001	61396.01581063506	550168.1196552675	321657.3856658249
0.5734400000000001	67358.67967656718	535037.0046311037	335544.1383384967
0.6144000000000001	80031.31661032446	497883.8203053971	336759.8948805771
0.65536	99395.72218053954	428634.79870527715	315165.8433717916
0.69632	113535.90518877414	371822.55839524907	293386.0675495068
0.77824	113535.90518877414	371822.55839524907	314544.9101801812
0.86016	113535.90518877414	371822.55839524907	335703.7528108556
0.86048	113535.90518877414	371822.55839524907	335786.4045398817
0.8606400000000001	113535.90518877414	371822.55839524907	335827.73040439474
0.86072	113535.90518877414	371822.55839524907	335848.39333665126
0.8607600000000001	113535.90518877414	371822.55839524907	335858.7248027795
0.8607800000000001	113535.90518877414	371822.55839524907	335863.8905358437
0.86079	113535.90518877414	371822.55839524907	335866.4734023757
0.8608	149489.99999999997	149490.0	149490.0
