lambda	f0	f1	fla
0.0	36753.64134185063	3.6890126337361544e7	36753.64134185063
0.01024	36773.878838224446	3.6889315859601356e7	414143.9087212389
0.02048	36798.90200406286	3.688883180745903e7	791528.5359077806
0.030720000000000004	36827.00398768926	3.688838371522277e7	1.168906826156831e6
0.04096	36857.35611615062	3.688794594349314e7	1.5462779446551122e6
0.0512	36889.746383162725	3.68875155311795e7	1.9236417865647355e6
0.06144	36923.41024425643	3.688708974152121e7	2.3009976296379124e6
0.07168000000000001	36958.30089033006	3.688666284501644e7	2.67834512261329e6
0.08192	36994.34693071995	3.6886234647162065e7	3.055684112325672e6
0.09216	37031.6428861415	3.6885799457698375e7	3.433014084699237e6
0.1024	37069.96337841119	3.688535796498619e7	3.810334654743048e6
0.11264	37109.550170650546	3.6884905992483124e7	4.187645341432728e6
0.12288	37150.353015426415	3.688444486694946e7	4.564945902887641e6
0.13312000000000002	37192.33206387093	3.688397355203914e7	4.942235848066979e6
0.14336000000000002	37235.53763032651	3.688349077045648e7	5.319514687808285e6
0.15360000000000001	37280.05808998509	3.6882997069021694e7	5.6967821909690965e6
0.16384	37325.841028603	3.688249096535137e7	6.074037694997646e6
0.17408	37373.02913791811	3.6881971420299545e7	6.451280717071334e6
0.18432	37421.56697327798	3.688143808782376e7	6.82851069209644e6
0.19456	37471.608575460734	3.688088923367483e7	7.205726941714794e6
0.2048	37523.15480567236	3.688032438171448e7	7.5829288460765965e6
0.21504	37576.26196403862	3.68797425160113e7	7.960115693234362e6
0.22528	37631.2224988527	3.6879148965158924e7	8.337288339565314e6
0.23552	37688.04440468473	3.687853762980804e7	8.714444938758882e6
0.24576	37746.71304465066	3.687790539472708e7	9.091584110654926e6
0.256	37807.305814620195	3.687725117008122e7	9.468704935066871e6
0.26624000000000003	37869.9143562525	3.687657403835087e7	9.845806500328582e6
0.27648000000000006	37934.636986053425	3.687587259443414e7	1.0222887723461304e7
0.2867200000000001	38001.57541937524	3.687514586417232e7	1.0599947585890621e7
0.2969600000000001	38070.84754949721	3.687439226097767e7	1.097698485448113e7
0.30720000000000014	38142.57963430325	3.687361043233232e7	1.135399830398314e7
0.31744000000000017	38216.900171163026	3.687279861077537e7	1.1730986518385367e7
0.3276800000000002	38293.96870161847	3.687195504316315e7	1.210794802958118e7
0.3379200000000002	38373.92332570978	3.687107798044396e7	1.2484881278307118e7
0.34816000000000025	38456.93581929073	3.6870165419421166e7	1.2861784561470129e7
0.3584000000000003	38543.17936723684	3.686921509283342e7	1.3238655993153527e7
0.3686400000000003	38632.86158937827	3.6868224658196755e7	1.361549358149073e7
0.3788800000000003	38726.19384268437	3.6867191461685374e7	1.3992295114522934e7
0.38912000000000035	38823.37393701988	3.686611304650578e7	1.436905833132699e7
0.3993600000000004	38924.691579679886	3.686498577294449e7	1.4745780445033543e7
0.4096000000000004	39030.393403622555	3.6863806929106094e7	1.512245886242737e7
0.41984000000000044	39140.77542345989	3.68625724543072e7	1.5499090331486024e7
0.43008000000000046	39256.157432552965	3.6861278554858945e7	1.5875671550117712e7
0.4403200000000005	39376.880055144924	3.685992109568364e7	1.6252198909080703e7
0.4505600000000005	39503.352635695526	3.685849487845133e7	1.6628668174507208e7
0.46080000000000054	39635.97453762674	3.685699485285296e7	1.7005074945665352e7
0.47104000000000057	39775.18187435975	3.685541583964367e7	1.7381414557310037e7
0.4812800000000006	39921.48299617478	3.6853750996373214e7	1.77576813511943e7
0.4915200000000006	40075.46140955728	3.685199318181834e7	1.8133869259344906e7
0.5017600000000006	40237.758463798535	3.68501342251121e7	1.850997140956928e7
0.5120000000000007	40409.02873293275	3.6848166190414354e7	1.888598069551385e7
0.5222400000000007	40590.08004509507	3.6846078262868784e7	1.9261888228642963e7
0.5324800000000007	40781.81075679416	3.684385951419129e7	1.9637684626281623e7
0.5427200000000008	40985.08178573164	3.684149817389786e7	2.0013359547136854e7
0.5529600000000008	41201.03341356056	3.683898034751287e7	2.0388901082937945e7
0.5632000000000008	41430.89182278634	3.683628996115949e7	2.0764295519673247e7
0.5734400000000008	41675.94907394309	3.683340986948062e7	2.113952784839198e7
0.5836800000000009	41937.80915660322	3.683032090227232e7	2.1514581252946418e7
0.5939200000000009	42218.23780135354	3.682699875664266e7	2.188943508355162e7
0.6041600000000009	42519.201866851974	3.6823416921784066e7	2.2264066368332073e7
0.614400000000001	42843.08385756958	3.681954816394188e7	2.2638450685061406e7
0.624640000000001	43192.3827334754	3.681535345375547e7	2.301255507413669e7
0.634880000000001	43569.99385617802	3.68107994125574e7	2.338634860720125e7
0.645120000000001	43979.6751347439	3.6805839599235386e7	2.3759790749370586e7
0.655360000000001	44424.676605985325	3.6800421193241276e7	2.4132834553748127e7
0.6656000000000011	44910.04226844742	3.6794486048173815e7	2.45054278317991e7
0.6758400000000011	45440.93953344184	3.678796456423069e7	2.487750810604887e7
0.6860800000000011	46023.49660864084	3.67807721927529e7	2.5248999882059336e7
0.6963200000000012	46665.00089033141	3.67728129717592e7	2.5619816355965786e7
0.7065600000000012	47375.76881059474	3.6763948776961535e7	2.5989837593449764e7
0.7168000000000012	48166.29065220987	3.67540528035304e7	2.6358945743083343e7
0.7270400000000012	49054.55758818781	3.674287053222905e7	2.6726926523791127e7
0.7372800000000013	50063.150102569416	3.6730134412363395e7	2.7093546090342276e7
0.7475200000000013	51226.48266818142	3.671538658417024e7	2.7458419441743042e7
0.7577600000000013	52596.07143971928	3.6697979347002566e7	2.7821001702330273e7
0.7680000000000013	54213.72323450244	3.667738313404539e7	2.8180807830737315e7
0.7782400000000014	56117.60185381382	3.6653080976295e7	2.8537338378378972e7
0.7884800000000014	58418.474213234964	3.662377888196621e7	2.8889473848518353e7
0.7987200000000014	61244.66335138705	3.658790764118873e7	2.9235820917009685e7
0.8089600000000015	64931.805182865675	3.654162769355869e7	2.957311971104343e7
0.8192000000000015	70144.60081698443	3.647786142377021e7	2.989534622218032e7
0.8294400000000015	79577.11915138211	3.636843081539312e7	3.0179003928962186e7
0.8396800000000015	103568.26645064927	3.611746379514559e7	3.0343716063985277e7
0.8499200000000016	128696.88338970215	3.584715025195628e7	3.048652477040186e7
0.8601600000000016	160571.40149263985	3.548474996231394e7	3.0545016832368746e7
