lambda	f0	f1	fla
0.0	18271.41043288717	1.4386273404277436e7	18271.41043288717
0.00512	18276.415612136552	1.4386219299897041e7	91840.28317967526
0.01024	18280.837425275477	1.4386182336347977e7	165408.14877424395
0.015360000000000002	18285.222473860722	1.4386147408126598e7	238975.5856454868
0.02048	18289.65105173418	1.4386112332483618e7	312542.6595674592
0.0256	18294.129782170276	1.4386076845738381e7	386109.3673106493
0.03072	18298.659317071062	1.4386040941309292e7	459675.7022198721
0.035840000000000004	18303.240766646333	1.4386004610398823e7	533241.6578542637
0.04096	18307.87471947692	1.4385967847676845e7	606807.2272118108
0.04608	18312.562332641402	1.4385930643830791e7	680372.4035280761
0.0512	18317.304311690146	1.4385892991085885e7	753937.179474529
0.05632	18322.101764824223	1.4385854882156191e7	827501.547956466
0.06144	18326.95571112118	1.4385816307192866e7	901065.5014661596
0.06656000000000001	18331.867015148517	1.4385777259321546e7	974629.0323270625
0.07168000000000001	18336.83683014964	1.438573772833794e7	1.0481921327334282e6
0.07680000000000001	18341.866015329153	1.4385697707168696e7	1.1217547946159078e6
0.08192	18346.955827136677	1.438565718465755e7	1.1953170097729242e6
0.08704	18352.10736093351	1.4385616152861508e7	1.2688787698813037e6
0.09216	18357.32171467913	1.438557460036613e7	1.3424400661151968e6
0.09728	18362.600009149526	1.4385532518343441e7	1.4160008896647096e6
0.1024	18367.94336220566	1.4385489897949403e7	1.4895612315119347e6
0.10752	18373.353056489752	1.4385446727001019e7	1.5631210822230056e6
0.11264	18378.83051957765	1.4385402994105317e7	1.6366804323058755e6
0.11776	18384.376824467334	1.4385358689421302e7	1.7102392718758706e6
0.12288	18389.993285887354	1.4385313803010793e7	1.7837975910248838e6
0.128	18395.681210868166	1.4385268321386043e7	1.8573553791532905e6
0.13312000000000002	18401.44213645159	1.4385222233616179e7	1.9309126258982331e6
0.13824000000000003	18407.277342604848	1.4385175527600462e7	2.0044693202582514e6
0.14336000000000004	18413.18828999357	1.4385128190060006e7	2.0780254509437433e6
0.14848000000000006	18419.1765677701	1.4385080208223812e7	2.15158100654806e6
0.15360000000000007	18425.24360958658	1.438503156933063e7	2.22513597524034e6
0.15872000000000008	18431.390940233432	1.4384982260161484e7	2.2986903449030314e6
0.1638400000000001	18437.620244772428	1.4384932266651474e7	2.372244103112048e6
0.1689600000000001	18443.93324612307	1.438488157367491e7	2.4457972369729728e6
0.17408000000000012	18450.331285912034	1.4384830168672161e7	2.5193497333781123e6
0.17920000000000014	18456.816598923262	1.4384778033822373e7	2.5929015787253673e6
