lambda	f0	f1	fla
0.0	44404.42994014798	2.0727538355715916e8	44404.42994014798
0.00256	44367.95239998994	2.072752854870938e8	574879.1012888062
0.00512	44349.5512598894	2.0727526882571617e8	1.1053718579451058e6
0.007680000000000001	44339.061493088746	2.0727523885531402e8	1.6358723719096335e6
0.01024	44333.283782104976	2.072752331732995e8	2.1663776986507634e6
0.0128	44329.3981486666	2.072752238946178e8	2.696884847703472e6
0.01536	44327.10037126337	2.0727520409044173e8	3.227393370938746e6
0.017920000000000002	44325.62084177997	2.0727518270142433e8	3.7579025797258196e6
0.02048	44324.93795165516	2.072751578556895e8	4.288412396106927e6
0.02304	44325.11612481526	2.0727513042711857e8	4.818922870490111e6
0.0256	44326.14985258272	2.0727510152200198e8	5.349433999379608e6
0.02816	44327.28253942755	2.0727507210770473e8	5.879945056816082e6
0.03072	44328.52105685262	2.072750417938336e8	6.410456032796555e6
0.033280000000000004	44329.796271213905	2.0727501243563443e8	6.940966914509223e6
0.035840000000000004	44331.13909773995	2.0727498236546695e8	7.471477679050813e6
0.038400000000000004	44332.561330742465	2.072749518969722e8	8.001988343819375e6
0.04096	44334.04695583978	2.072749208699757e8	8.532498883226734e6
0.04352	44335.57929455362	2.0727488945689148e8	9.063009284047572e6
0.04608	44337.13529969586	2.0727485878179356e8	9.593519572770135e6
0.04864	44338.75253614611	2.0727482709430718e8	1.012402970547989e7
0.0512	44340.4083416268	2.0727479517345887e8	1.065453969231563e7
0.05376	44342.102953824105	2.072747632595796e8	1.1185049544334026e7
0.05632	44343.8187633175	2.0727473126987955e8	1.1715559240010185e7
0.05888	44345.57195594772	2.0727469893553278e8	1.2246068778003352e7
0.06144	44347.35619263097	2.0727466637004295e8	1.2776578156403596e7
0.064	44349.16797357622	2.0727463359650758e8	1.3307087371399751e7
0.06656000000000001	44351.001621075455	2.072746005411517e8	1.3837596410972236e7
0.06912000000000001	44352.8598979	2.0727456746181443e8	1.4368105293182373e7
0.07168000000000002	44354.74405724626	2.0727453408904254e8	1.4898613999505796e7
0.07424000000000003	44356.650946081216	2.0727450050861192e8	1.5429122530939199e7
0.07680000000000003	44358.57789500236	2.072744667066671e8	1.5959630882184705e7
0.07936000000000004	44360.52578372488	2.072744326486211e8	1.6490139049452107e7
0.08192000000000005	44362.49148451194	2.072743984973331e8	1.7020647041083638e7
0.08448000000000006	44364.47640209817	2.0727436410089195e8	1.7551154844679013e7
0.08704000000000006	44366.48274540496	2.0727432947309214e8	1.8081662461425196e7
0.08960000000000007	44368.50283105456	2.0727429465965652e8	1.861216988648263e7
0.09216000000000008	44370.540225022996	2.0727425968079323e8	1.9142677123419806e7
0.09472000000000008	44372.59670288718	2.0727422441388562e8	1.9673184160826452e7
0.09728000000000009	44374.6694290819	2.0727418894482288e8	2.020369100213941e7
0.0998400000000001	44376.75853001119	2.0727415328249988e8	2.0734197646683183e7
0.1024000000000001	44378.86247662302	2.072741173985097e8	2.1264704088566434e7
0.10496000000000011	44380.98308959014	2.0727408129011092e8	2.1795210327314574e7
0.10752000000000012	44383.11661153206	2.0727404500126633e8	2.2325716362449642e7
0.11008000000000012	44385.25787038498	2.0727400861751783e8	2.28562221973004e7
0.11264000000000013	44387.43171838647	2.0727397202079013e8	2.3386727839831453e7
0.11520000000000014	44389.633181235964	2.0727393514513782e8	2.391723327615866e7
0.11776000000000014	44391.850453406834	2.072738979882798e8	2.4447738493243873e7
0.12032000000000015	44394.08235444468	2.0727386057869363e8	2.4978243491194006e7
0.12288000000000016	44396.32913863498	2.0727382291256177e8	2.5508748267709706e7
0.12544000000000016	44398.58996204297	2.0727378499790308e8	2.60392528209742e7
0.12800000000000017	44400.8640213595	2.0727374686488745e8	2.6569757152132254e7
0.13056000000000018	44403.15209552807	2.0727370849677658e8	2.7100261257897124e7
0.13312000000000018	44405.45463490578	2.0727366987801492e8	2.763076513467529e7
0.1356800000000002	44407.77081963518	2.072736310218772e8	2.8161268781523164e7
0.1382400000000002	44410.102210963385	2.072735919064327e8	2.8691772194826618e7
0.1408000000000002	44412.4480221645	2.0727355254401892e8	2.922227537353855e7
0.1433600000000002	44414.808451866906	2.072735129307976e8	2.9752778315271396e7
0.14592000000000022	44417.18373868721	2.0727347306248325e8	3.028328101756514e7
0.14848000000000022	44419.57362484323	2.0727343294446957e8	3.0813783478927914e7
0.15104000000000023	44421.978593838736	2.0727339256450304e8	3.1344285695889615e7
0.15360000000000024	44424.39860516832	2.0727335192950594e8	3.1874787667351577e7
0.15616000000000024	44426.83367291667	2.072733110251864e8	3.240528938901971e7
0.15872000000000025	44429.28425667799	2.0727326986498913e8	3.2935790861230586e7
0.16128000000000026	44431.75014044349	2.0727322843282762e8	3.3466292079124287e7
0.16384000000000026	44434.23166361352	2.0727318673695514e8	3.399679304213063e7
0.16640000000000027	44436.729195528096	2.0727314476543966e8	3.452729374642661e7
0.16896000000000028	44439.2419083796	2.0727310252724254e8	3.5057794190598495e7
0.17152000000000028	44441.77137074523	2.072730599973583e8	3.558829436949219e7
0.1740800000000003	44444.31662356255	2.0727301721088102e8	3.611879428605597e7
0.1766400000000003	44446.878423855385	2.0727297412604976e8	3.6649293931444556e7
0.1792000000000003	44449.45679618686	2.072729307569558e8	3.717979330578486e7
0.1817600000000003	44452.05146406867	2.0727288711443534e8	3.771029240850979e7
0.18432000000000032	44454.66371342541	2.072728431612569e8	3.8240791231580704e7
0.18688000000000032	44457.29217066061	2.0727279892832336e8	3.877128977713495e7
0.18944000000000033	44459.93789021618	2.072727544010565e8	3.9301788040992506e7
0.19200000000000034	44462.60112420862	2.072727095689661e8	3.983228601894992e7
0.19456000000000034	44465.281960401604	2.0727266443300736e8	4.0362783708788164e7
0.19712000000000035	44467.980065311946	2.0727261899582216e8	4.089328110829137e7
0.19968000000000036	44470.696205053435	2.07272573249263e8	4.142377821399974e7
0.20224000000000036	44473.43068379269	2.072725271884344e8	4.1954275022651345e7
0.20480000000000037	44476.18313131377	2.0727248081193423e8	4.2484771531110235e7
0.20736000000000038	44478.953646451766	2.072724341312335e8	4.3015267739270985e7
0.20992000000000038	44481.742761364134	2.0727238711788204e8	4.354576363910678e7
0.2124800000000004	44484.551338455014	2.0727233977298757e8	4.407625922883454e7
0.2150400000000004	44487.377923098065	2.0727229212246937e8	4.460675451019041e7
0.2176000000000004	44490.22393525571	2.0727224412062147e8	4.5137249471854255e7
0.2201600000000004	44493.089383732215	2.072721957978365e8	4.566774411767679e7
0.22272000000000042	44495.97479480375	2.0727214712047818e8	4.619823843796149e7
0.22528000000000042	44498.879275625484	2.0727209811522037e8	4.672873243514935e7
0.22784000000000043	44501.80400187475	2.072720487583129e8	4.725922610207219e7
0.23040000000000044	44504.74852727807	2.072719990533186e8	4.778971943635129e7
0.23296000000000044	44507.71391546737	2.0727194899772218e8	4.832021243539117e7
0.23552000000000045	44510.69967411089	2.0727189858199492e8	4.88507050937184e7
0.23808000000000046	44513.705729149115	2.0727184781560513e8	4.9381197410608515e7
0.24064000000000046	44516.733262336944	2.0727179667441678e8	4.991168937830184e7
0.24320000000000047	44519.78185566634	2.0727174516881007e8	5.0442180995963074e7
0.24576000000000048	44522.85196997639	2.0727169329569045e8	5.0972672260218814e7
0.24832000000000048	44525.94362212054	2.0727164103401744e8	5.1503163162869185e7
0.2508800000000005	44529.05743749938	2.0727158839887437e8	5.203365370501728e7
0.2534400000000005	44532.19276546181	2.0727153539417422e8	5.25641438841306e7
0.2560000000000005	44535.35092310705	2.072714819797418e8	5.30946336879008e7
0.2585600000000005	44538.531728096954	2.0727142817993084e8	5.36251231191675e7
0.2611200000000005	44541.73485728152	2.0727137398133656e8	5.415561217105806e7
0.2636800000000005	44544.962134469795	2.0727131937730563e8	5.4686100839926906e7
0.26624000000000053	44548.21175311603	2.0727126438110054e8	5.521658912468029e7
0.26880000000000054	44551.48581835902	2.072712089546693e8	5.574707701344561e7
0.27136000000000055	44554.782726703634	2.072711531333023e8	5.6277564511139005e7
0.27392000000000055	44558.10483039082	2.072710968722834e8	5.680805160401124e7
0.27648000000000056	44561.45000161979	2.0727104020464092e8	5.733853829608441e7
0.27904000000000057	44564.82066615171	2.0727098309826463e8	5.786902457684735e7
0.28160000000000057	44568.216356770536	2.0727092555483785e8	5.839951044287316e7
0.2841600000000006	44571.636741309005	2.072708675796621e8	5.892999589188181e7
0.2867200000000006	44575.08299534459	2.0727080915988684e8	5.946048091752179e7
0.2892800000000006	44578.55443311202	2.0727075028795812e8	5.9990965513507344e7
0.2918400000000006	44582.05195479753	2.0727069097485703e8	6.052144968001471e7
0.2944000000000006	44585.57659485196	2.0727063117783576e8	6.10519334016003e7
0.2969600000000006	44589.12804122284	2.072705709208195e8	6.1582416681224786e7
0.2995200000000006	44592.705538428476	2.0727051019447315e8	6.211289951182429e7
0.3020800000000006	44596.31065135554	2.0727044900138322e8	6.2643381891467765e7
0.30464000000000063	44599.9436982837	2.0727038731533858e8	6.317386380859492e7
0.30720000000000064	44603.60419704758	2.0727032514293456e8	6.3704345260897346e7
0.30976000000000065	44607.29314320363	2.0727026247665793e8	6.423482624278886e7
