lambda	f0	f1	fla
0.0	217942.35984642946	1.4588467790514054e6	217942.35984642946
0.00512	217975.4759720582	1.4368545100475564e6	224216.13662652473
0.015360000000000002	218449.8668760051	1.3445159573680386e6	235746.24202596274
0.025600000000000005	219117.47683930304	1.2862182745360793e6	246435.25726034053
0.030720000000000004	219559.12517621313	1.2558113073741975e6	251392.7922133352
0.05120000000000001	221156.9206832065	1.1831672703704652e6	270411.85058719415
0.07168000000000001	222997.14488250887	1.135030416430682e6	288371.6897870819
0.08192	224445.56530046524	1.1030837341286922e6	296423.6040908736
0.1024	227741.228420076	1.0427326335104327e6	311196.3483013285
0.11264	230175.87774302374	1.0047170704752654e6	317420.19769238343
0.11776	231579.40115450296	983453.6865184829	320120.11699896527
0.12032000000000001	233047.75028645387	959158.9673445704	320413.4519228865
0.12033	236669.2973776252	885623.1469510193	314757.9140967917
0.14081000000000002	240857.3307039389	834202.6766530285	324406.28886703023
0.15105000000000002	246078.04397526188	774410.3176965518	325882.63392086275
0.15109000000000003	246153.87236243454	773526.799761246	325834.64796312095
0.15111000000000002	246186.09723021422	773154.6218108092	325816.31097958796
0.15112000000000003	248488.79386104376	734604.8681152686	321950.65500234225
0.16136000000000003	250508.10531788098	714420.5553465765	325365.0182545113
0.17160000000000003	252692.12346698507	691641.3154274384	328015.8048073989
0.17672000000000004	253422.06883308047	684861.9345138622	329666.12189618824
0.17928000000000005	253778.78943383196	681672.997189655	330491.6630002959
0.17992000000000005	253874.44410539354	680819.7083179997	330690.4360425257
0.18024000000000004	253924.46710342876	680373.6552302008	330787.66877139814
0.18040000000000003	253949.99690972661	680147.6105835643	330836.04641648696
0.18048000000000003	253963.4941661703	680025.6063407483	330859.18417143816
0.18064000000000002	253948.15679716523	680240.0880916347	330953.5312661982
0.18080000000000002	253971.0471823074	680033.668955652	331003.1691989281
0.18096	253995.2029082529	679824.1230303836	331053.20429355366
0.18097000000000002	253130.126175176	690602.4722510981	332299.4966445356
0.18225000000000002	253368.4420734609	688597.434259749	332688.9258994119
0.18289000000000002	253493.3389487823	687550.5192226572	332878.0566490713
0.18321	253558.77285909557	686999.2954204567	332969.4109975625
0.18329	253577.72790171902	686843.2117612516	332990.9584383328
0.18330000000000002	253581.14836061915	686815.807170352	332993.0613204432
0.18331000000000003	254376.69737732384	676474.8871219093	331751.5165394038
0.18332000000000004	253579.49336397645	686829.1918299757	333002.82808676345
0.18333000000000005	254383.11123981618	676411.2279803073	331753.52588185045
0.18337000000000006	254387.59078817614	676378.4290938037	331768.0508082791
0.18353000000000005	254410.25880774998	676184.5966964881	331818.5030404701
0.18385000000000004	254460.11848573797	675756.9142255709	331915.5343825063
0.18401000000000003	254485.12157977157	675541.5661194939	331963.7179395259
0.18402000000000004	259730.62603171807	633693.3300061473	328547.24281709257
0.18434000000000003	259810.07396142388	632909.308585485	328587.18687202333
0.18442000000000003	259830.70879590185	632701.1766186897	328595.4804717804
0.18444000000000002	259821.61556860508	632791.8336974243	328612.2426002845
0.18572000000000002	260170.51887938485	629361.1282525556	328736.5988521701
0.18573000000000003	254762.56790477264	673181.9111025603	332475.59251689777
0.18637000000000004	254872.03356902592	672256.7771996986	332660.0282394744
0.18701000000000004	254981.92453113987	671334.1841104338	332843.96059506363
0.18829000000000004	255208.94934203388	669428.1877359664	333202.28973922745
0.18830000000000005	254636.0641199816	677605.3122602836	334281.1735448005
0.19854000000000005	257530.31285551484	649729.783501219	335397.59575751296
0.19918000000000005	257720.69027327982	648203.3067610506	335497.017825314
0.19934000000000004	257769.7179011965	647818.4815454902	335522.03844605
0.19942000000000004	257794.69313048027	647616.2006965447	335532.8981693049
0.19946000000000005	257814.38222953185	647462.6530527584	335533.62632793264
0.19950000000000007	257826.48886225733	647376.4457077626	335541.70525293564
0.19952000000000006	257834.8844041892	647300.6082823602	335541.0856323619
0.19953000000000007	260544.6360036331	627401.5164514827	333743.5893593925
0.19969000000000006	260582.7229285475	627113.0152463168	333775.1570014829
0.19973000000000007	260591.69984094548	627044.7315952918	333783.3638732411
0.19981000000000007	260613.4315771139	626885.2245399798	333798.1985290242
0.19982000000000008	258101.47447857008	645644.9978617015	335540.4213209874
0.1998300000000001	264962.7766777067	585763.3163784053	329068.3485260973
0.2100700000000001	272614.4272820102	520546.13970795553	324697.4421113286
0.2203100000000001	276829.52774048276	490094.31851952523	323813.8937970136
0.2254300000000001	279385.8876787424	471110.80454300204	322606.4356874525
0.2663900000000001	289579.65423559473	404221.8660719595	320119.19304668397
0.2868700000000001	291918.4877854287	395112.4105039742	321521.72839569784
0.3278300000000001	297025.0531496214	375981.0195317529	322909.1876086756
0.3687900000000001	301580.7998433067	364790.7925653695	324892.0130592763
0.3892700000000001	305680.7202227464	354556.8384901462	324706.7267806971
0.3918300000000001	305805.63669618557	354238.2558937981	324782.9898763861
0.3931100000000001	305871.9041144494	354070.0424126219	324819.07426084403
0.3937500000000001	305906.04777775257	353983.5753035466	324836.574241034
0.3939100000000001	305914.6918467409	353961.70602147747	324840.89120031137
0.3939500000000001	305916.85969996994	353956.2227476775	324841.96677261434
0.3939600000000001	329029.99999999994	329030.0	329030.0
