lambda	f0	f1	fla
0.0	403450.2355105083	2.445558388862487e6	403450.2355105083
0.02048	412675.63498623687	2.445137077165463e6	454300.4453220674
0.04096	422967.16088661796	2.4447898593532564e6	505781.0186158115
0.06144000000000001	445317.45956710336	2.442235965282766e6	568008.1325582737
0.08192	466951.30508813134	2.4387094267629758e6	628477.7304157346
0.1024	484162.65170056844	2.436220645530179e6	684053.3902687206
0.14336000000000002	499110.09335856466	2.437938578454542e6	777060.544981924
0.18432	517228.6750331842	2.4457528240720984e6	872694.2461840368
0.22528	532401.3934689063	2.4493558481461555e6	964252.8930185969
0.26624000000000003	541741.3838729748	2.449340015928095e6	1.04962044367133e6
0.28672000000000003	544889.5763433755	2.448930687207821e6	1.0908162436504294e6
0.30720000000000003	547501.6302832386	2.448315319303412e6	1.1314315955502358e6
0.32768	549493.9323878438	2.4473731912997607e6	1.171391007948101e6
0.34816	551200.2331752811	2.4459911936456487e6	1.2108906539726444e6
0.36864	552936.6926483422	2.443809363423967e6	1.2499879940030684e6
0.38912	554512.0038476478	2.4418177288100813e6	1.28890040754503e6
0.4096	556144.5798124878	2.4396344653148986e6	1.3276220369142753e6
0.43008	557679.5228706476	2.4372165682908213e6	1.366030815364956e6
0.45056	559095.5568633494	2.4346997820307566e6	1.4041677965547764e6
0.47104	560643.5057618719	2.4311658108150335e6	1.441734332334113e6
0.49152	562946.2312307487	2.4248306064084135e6	1.4780996393180746e6
0.512	566701.041082541	2.4147722336684344e6	1.5129134916865185e6
0.5324800000000001	572984.3117412647	2.3984984110261956e6	1.5450340593285048e6
0.5529600000000001	578733.7093766432	2.3835339188749697e6	1.576716033220838e6
0.5734400000000002	581487.3535725714	2.3761680420075087e6	1.6106290475487022e6
0.5939200000000002	583509.3930657798	2.3688210618451433e6	1.6438416993872197e6
0.6144000000000003	586824.3102269366	2.3566723847410046e6	1.6742189672083803e6
0.6348800000000003	595613.7399057499	2.3257310543999122e6	1.6940306205318042e6
0.6758400000000003	603086.5414674502	2.295203021593876e6	1.7466865433960943e6
0.7168000000000003	611494.1101664602	2.253462438286882e6	1.788457007763179e6
0.7577600000000003	615382.0795154114	2.231876172744235e6	1.8402966436004853e6
0.7987200000000003	620331.8647480496	2.199087512612907e6	1.8813155758106692e6
0.8192000000000004	627040.4647424474	2.1504315732506346e6	1.8750024608323548e6
0.8396800000000004	634328.4104651564	2.079729425890023e6	1.8480027350971089e6
0.8499200000000005	635913.0668859346	2.0629225505025387e6	1.8487569672013593e6
0.8550400000000005	637521.1488390976	2.0447337159452736e6	1.840744182217563e6
0.8556800000000004	637878.9367775302	2.040601063696567e6	1.8381602063396121e6
0.8560000000000004	638079.518994345	2.0382735326883392e6	1.8366455947164046e6
0.8560800000000004	638133.6913986735	2.0376448533852054e6	1.8362272069521043e6
0.8561000000000004	638148.2611633202	2.0374763584795678e6	1.8361130452757603e6
0.8561100000000004	638155.37169489	2.0373942130680038e6	1.8360577361828268e6
0.8561200000000003	643026.7349105909	2.009035644256034e6	1.8124942823794119e6
0.8663600000000004	647424.4298011948	1.9485147980223596e6	1.7746370812132836e6
0.8689200000000004	652689.8607117312	1.8768490785512542e6	1.71638628827685e6
0.8695600000000003	657061.0973158233	1.8179909106842773e6	1.6665592258284967e6
0.8708400000000003	674025.0691392974	1.5890084381143944e6	1.4708291861775713e6
0.8759600000000003	694583.4897119557	1.29832759339952e6	1.2234391747781148e6
0.8862000000000003	701049.3874218924	1.200898476439069e6	1.1440156501089146e6
0.8913200000000003	701935.6134770943	1.1864578598752283e6	1.1337999821366793e6
0.8926000000000003	703355.327621345	1.1628844768783562e6	1.1135310462481533e6
0.8938800000000002	712416.7013269098	1.010592122781489e6	978949.7470567292
0.9348400000000002	712416.7013269098	1.010592122781489e6	991163.0123195087
0.9450800000000003	712416.7013269098	1.010592122781489e6	994216.3286352037
0.9454000000000002	712416.7013269098	1.010592122781489e6	994311.744770069
0.9454200000000003	712416.7013269098	1.010592122781489e6	994317.7082784981
0.9454300000000002	728690.0	728690.0	728690.0
