lambda	f0	f1	fla
0.0	15309.585679519867	568127.339862367	15309.585679519867
0.02048	21227.54516418505	568281.5688189378	32431.211568634382
0.04096	28814.077407815726	568111.9680846488	50903.71900993881
0.06144000000000001	32791.43937923686	567869.3382999463	65666.62548892525
0.08192	38404.78239260249	567039.6076675764	81710.54727912835
0.1024	41437.79992784283	566377.1700373074	95191.59142705202
0.12288	43356.42628291588	565787.7254937143	107552.78432993879
0.14336000000000002	45861.35715159939	564951.941719339	120278.18335523055
0.16384	47695.762411895616	564326.7777054545	132340.58795759233
0.18432	49949.355326741264	563289.3841585633	144568.1894410227
0.2048	52374.21636365832	562115.8351592682	156769.29989299923
0.22528	53574.93724233489	561453.4420969691	167989.8068159869
0.24576	54424.890594327306	560900.3417321438	178896.2974659571
0.26624000000000003	54924.85734521895	560533.3697645906	189538.06769175248
0.28672000000000003	55268.55197280011	560249.3657019091	200056.65088521023
0.30720000000000003	55575.82519914669	559964.6942857609	210524.08578255458
0.32768	55899.30752972558	559633.9429364676	220963.07285980682
0.34816	56249.21760720719	559243.1227031738	231371.5756054189
0.36864	56554.76521629923	558873.3202750197	241729.47735314595
0.38912	56826.90585898364	558514.7158089561	252043.6664667169
0.4096	57131.577527644804	558075.5171054252	262318.21517870366
0.43008	57553.92003806821	557415.2531872827	272534.28219888237
0.45056	58527.3145709993	555848.7922637336	282600.47956023767
0.47104	59377.18015843705	554392.0973779152	292549.00676550006
0.49152	60733.83370805821	551794.45423957	302099.9499117069
0.512	61557.06737015241	550112.1720971618	311697.2809903812
0.5324800000000001	63713.061562753275	545523.1314981886	320267.28760197386
0.5529600000000001	66254.75670000294	539414.251865071	327893.0311464791
0.5734400000000002	70040.89200694406	529415.0900839185	333464.4321522044
0.5939200000000002	73022.56673579126	521012.9454006597	339093.01243243
0.6144000000000003	76864.13202659343	509134.3146176977	342450.932210568
0.6348800000000003	80516.69549840696	496964.4095604295	344911.020202104
0.6400000000000003	82035.83780667374	491510.87630584405	344099.8624461429
0.6502400000000004	88998.40078851565	466116.5350247021	334215.69639425364
0.6604800000000004	96536.33692328747	437931.5280527979	322021.0327605066
0.6809600000000005	105993.82496586196	399331.5284794797	305745.06755049527
0.7014400000000005	109873.6347721659	381641.08418321004	300502.19448704884
0.7065600000000005	112186.84958534228	370457.7878187744	294670.7637035562
0.7091200000000005	114597.75152336033	358601.2978868498	287625.5463206381
0.7116800000000005	120982.36862043393	326835.34297438175	267483.8134086516
0.7120000000000005	121564.01350187637	323944.27001557586	265658.7561396305
0.7120100000000005	118802.77137733244	340670.2637342805	276774.6446104031
0.7222500000000005	120473.96194208173	332072.8369465432	273301.2494140541
0.7273700000000005	121922.62761804054	324189.7355423148	269045.65390892
0.7299300000000005	124093.99689859818	312294.03478181607	261466.8505506955
0.7300900000000006	124320.60857767018	311049.922728155	260649.81354579775
0.7301300000000006	124380.0246882583	310723.7898164928	260435.19792133628
0.7301500000000006	124410.72107013763	310555.34254894656	260324.2164428901
0.7301600000000006	124425.99065833514	310471.59367812064	260269.04815926182
0.7301700000000005	129423.04617609082	285138.8021334409	243122.01970346924
0.7506500000000006	132797.50184245672	264921.92192969355	231976.69778094112
0.7608900000000006	133439.79310041512	260875.71628612158	230404.5126931874
0.7660100000000006	134140.01438128878	256323.5681027408	227733.83836745832
0.7762500000000007	137068.3827039064	236920.14731798833	214578.31498558755
0.7813700000000007	137248.05900889516	235654.53845459333	214139.92985338042
0.7839300000000007	137732.98931136163	232139.43431182724	211741.0337405767
0.7941700000000007	140716.24615564605	210327.2161967823	195999.19023321528
0.7992900000000007	141221.07291473055	206368.84787163645	193293.0379600359
0.8095300000000007	143140.56403791375	190777.14492693066	181703.80536499963
0.8197700000000008	145610.39782595352	169386.59570559853	165101.41156175014
0.9836100000000008	147902.0	147902.0	147902.0
