lambda	f0	f1	fla
0.0	14725.99429066825	569042.3058119246	14725.99429066825
0.00256	15197.035541614807	569048.3168374116	16614.894821732047
0.00512	15581.533797021168	569049.9138580909	18415.291902933845
0.007680000000000001	15957.455096396929	569052.2512660335	20205.22313097974
0.01024	16337.715470872326	569054.8395712641	21997.53882166034
0.0128	16720.689142809853	569057.3661356929	23790.598608318756
0.01536	17124.89287445743	569059.8951148816	25602.61450887034
0.017920000000000002	17570.397251747007	569061.1142336174	27453.110900062125
0.02048	18083.98836662978	569058.1996478087	29367.940213668324
0.02304	18697.40922442103	569052.2866589631	31377.58560051288
0.0256	19415.670509679687	569045.0938521741	33486.183747247545
0.02816	20228.681775320736	569035.4121702352	35683.079303241524
0.03072	21080.733807092744	569024.9801235636	37913.58105393473
0.033280000000000004	21959.91439761945	569015.6673520609	40165.929855943265
0.035840000000000004	22834.430678461267	569001.3400734134	42409.05271117635
0.038400000000000004	23665.652417819074	568984.2234643543	44605.88554600603
0.04096	24455.382122646726	568966.0816011542	46758.54037328639
0.04352	25202.01289990352	568944.5713829675	48865.68904508647
0.04608	25903.976974384546	568920.7148724182	50926.18825672594
0.04864	26548.609737484	568893.8522198793	52928.28233182771
0.0512	27144.586815365463	568862.5859075029	54880.5483688829
0.05376	27693.203174784427	568829.3653922073	56784.683255593074
0.05632	28197.116274952223	568793.8973253994	58643.52698371341
0.05888	28675.051907322984	568754.7014327478	60474.941671379995
0.06144	29146.42081339178	568708.1579144665	62297.09394088181
0.064	29649.406985782738	568651.6910047581	64145.55316299717
0.06656000000000001	30206.6989509849	568579.8079075356	66040.81308313292
0.06912000000000001	30770.69526223095	568512.4141894823	67939.40287448258
0.07168000000000002	31351.7469114953	568447.8669182165	69850.79679357709
0.07424000000000003	31946.349663104076	568389.820357929	71771.9129274879
0.07680000000000003	32542.60976856682	568335.4723988328	73691.50161857126
0.07936000000000004	33111.99021703548	568283.6343677529	75583.21189683644
0.08192000000000005	33633.88233056892	568237.0312010493	77428.57228603872
0.08448000000000006	34102.42663461649	568194.5799956486	79222.53175055652
0.08704000000000006	34524.64516683289	568156.3974035543	80971.95288151715
0.08960000000000007	34907.49355500938	568120.8646061375	82683.41160119048
0.09216000000000008	35251.99787489036	568087.2071935476	84358.09076569785
0.09472000000000008	35565.780288079746	568056.050088788	86003.25864360288
0.09728000000000009	35852.718347625465	568027.2973446336	87622.66139245447
0.0998400000000001	36114.823581938996	568000.690584129	89218.30854343768
0.1024000000000001	36348.841916401565	567976.0088370146	90787.46380907239
0.10496000000000011	36563.12029819889	567952.2582484679	92337.72421745918
0.10752000000000012	36758.660761400395	567929.9604315058	93870.19890193018
0.11008000000000012	36931.54619582209	567910.0276176173	95381.65743073336
0.11264000000000013	37086.889721904816	567891.9484762822	96876.77153999795
0.11520000000000014	37228.23179045966	567874.9587352537	98358.7347345
0.11776000000000014	37357.40158261435	567858.9338737541	99829.26202521904
0.12032000000000015	37477.50977128471	567843.2880859083	101291.12021810029
0.12288000000000016	37591.58628796784	567827.6838517624	102746.997956607
0.12544000000000016	37697.709348816265	567812.445425338	104195.30184225523
0.12800000000000017	37799.052249497625	567797.3359550149	105638.83256380394
0.13056000000000018	37897.19320350599	567782.142111464	107078.97213292908
0.13312000000000018	37995.711609570935	567766.2538426915	108518.76619164404
0.1356800000000002	38098.20611615786	567749.0417855356	109961.23149977913
0.1382400000000002	38212.462661905265	567729.5646174463	111412.90683623936
0.1408000000000002	38335.813994608245	567708.0152083918	112871.41992550908
0.1433600000000002	38463.59278433299	567684.9893910957	114332.7722018786
0.14592000000000022	38595.941137202055	567660.2040512491	115796.99838161992
0.14848000000000022	38734.80556333455	567633.4760921429	117265.68016345213
0.15104000000000023	38879.13392358233	567604.8397623874	118737.86453347557
0.15360000000000024	39030.33868077425	567573.844490483	120214.62117314566
0.15616000000000024	39186.39933167794	567540.8869315499	121694.23611527408
0.15872000000000025	39342.65118950821	567506.91978451	123172.88390090704
0.16128000000000026	39497.00356321836	567471.9058951921	124648.79581131921
0.16384000000000026	39650.26913591407	567435.8660116956	126122.66132804226
0.16640000000000027	39803.51485410827	567398.4123909211	127595.30580423407
0.16896000000000028	39958.232542520804	567359.3744022949	129067.92947114838
0.17152000000000028	40115.80895465956	567318.3933726056	130541.59623402581
0.1740800000000003	40279.0645835162	567274.7485444834	132018.47324744152
0.1766400000000003	40440.786202400086	567230.7899725051	133492.9724683516
0.1792000000000003	40602.70053940098	567185.7671015186	134966.3860673326
0.1817600000000003	40766.41544391477	567139.226117878	136439.9375120145
0.18432000000000032	40932.77925994652	567091.0769210358	137914.27668483864
0.18688000000000032	41105.918463542264	567039.9261088904	139392.4658123051
0.18944000000000033	41279.45027410211	566987.0631140586	140869.50045050366
0.19200000000000034	41474.39021715626	566924.755654209	142360.86038107055
0.19456000000000034	41695.840268708576	566851.9144808558	143870.20606742412
0.19712000000000035	41928.55253192624	566775.2723536703	145386.3379431886
0.19968000000000036	42171.46580740974	566694.9963975939	146908.3243956579
0.20224000000000036	42418.4120548078	566613.5324427948	148431.63320207447
0.20480000000000037	42651.82934869614	566538.573409159	149943.8345322791
0.20736000000000038	42869.74577195415	566469.8312322403	151443.45949299927
0.20992000000000038	43073.29594737069	566406.9212271487	152931.4905661019
0.2124800000000004	43263.54445529648	566348.8168369002	154408.70313093983
0.2150400000000004	43441.14308402189	566295.239313414	155875.68793719058
0.2176000000000004	43610.63399147878	566244.488090135	157335.76064334658
0.2201600000000004	43773.93712715575	566195.935800469	158790.3643550726
0.22272000000000042	43933.592879234064	566148.5475784512	160241.30758984393
0.22528000000000042	44090.167912392426	566101.5677683421	161688.89607194098
0.22784000000000043	44242.70556441635	566055.4788050955	163132.52781957292
0.23040000000000044	44398.63473915257	566007.2713296296	164577.2646095987
0.23296000000000044	44557.94852570456	565957.2794854898	166023.13666609637
0.23552000000000045	44724.90140973515	565904.0526886801	167473.0151189525
0.23808000000000046	44901.96682637506	565846.3740024281	168928.41128685
0.24064000000000046	45091.25299914729	565783.93482841	170390.73995454132
0.24320000000000047	45293.30913900703	565716.5808874808	171860.24882823607
0.24576000000000048	45508.04652802697	565644.0432190539	173336.669074814
0.24832000000000048	45715.98912746853	565572.2682296851	174806.70035413123
0.2508800000000005	45919.539593339585	565500.7864311262	176272.08280000376
0.2534400000000005	46117.06346289624	565430.2266686502	177731.79154576277
0.2560000000000005	46308.544586162265	565360.0443789153	179185.72853310732
0.2585600000000005	46491.61573909441	565292.0794856618	180632.66364540716
0.2611200000000005	46667.85492729495	565224.8219003589	182073.45014330168
0.2636800000000005	46836.93100761029	565159.2150412471	183508.1508615999
0.26624000000000053	46999.36845154478	565095.3545538796	184937.2437914307
0.26880000000000054	47158.5621275532	565031.4959126759	186362.80672899444
0.27136000000000055	47311.26747978366	564969.3146732451	187782.95516620163
0.27392000000000055	47457.73150484784	564908.683141179	189197.89617707196
0.27648000000000056	47602.15353820779	564848.0093698082	190610.28775852898
0.27904000000000057	47743.79189481254	564786.4456078864	192019.37398690896
0.28160000000000057	47887.53224237646	564722.3093060206	193428.20546349898
0.2841600000000006	48036.487644869936	564654.172086476	194838.56885579703
0.2867200000000006	48193.78805400558	564580.4493808905	196252.17158965033
0.2892800000000006	48354.93234712564	564503.4735372837	197666.38234261487
0.2918400000000006	48516.66983107888	564425.1625700708	199079.4043520266
0.2944000000000006	48687.57144676222	564340.0482680819	200495.66062295903
0.2969600000000006	48888.87225932736	564236.030093294	201926.36424970243
0.2995200000000006	49187.23833449079	564076.8666858511	203406.97981829057
0.3008000000000006	49424.986278695316	563950.8104789067	204194.35419811922
0.30336000000000063	49816.56422431701	563747.380313206	205722.6165930427
0.30592000000000064	50254.628468860086	563522.0629790843	207273.4020342282
0.30848000000000064	50679.80797676222	563304.0052958308	208814.12036574882
0.31104000000000065	51061.14119787509	563107.4623695716	210328.0289351199
0.31360000000000066	51378.95093209556	562943.9658552652	211805.73961200187
0.31616000000000066	51637.88702970418	562811.3072654887	213250.47557145014
