lambda	f0	f1	fla
0.0	15264.97232057555	7.621790576408472e6	15264.97232057555
0.00064	15265.362176711367	7.621788089638058e6	20133.53672228663
0.00128	15265.752029443456	7.621785654030291e6	25002.097504004545
0.0019200000000000003	15266.142418054123	7.621783214905141e6	29870.65519722933
0.00256	15266.533379508075	7.6217807719403235e6	34739.209830223765
0.0032	15266.92486488307	7.621778325707665e6	39607.76134757997
0.00384	15267.316934130775	7.621775875659418e6	44476.309799635885
0.0044800000000000005	15267.70955702389	7.621773421952587e6	49344.85514855602
0.00512	15268.10274908303	7.621770964602039e6	54213.39740177017
0.00576	15268.496479882953	7.621768503716401e6	59081.936521565294
0.0064	15268.890758143534	7.621766039304469e6	63950.47250884002
0.00704	15269.285629540887	7.621763571029854e6	68819.0053987591
0.00768	15269.681042339187	7.621761099205219e6	73687.53513383011
0.008320000000000001	15270.077028469525	7.621758623611793e6	78556.06173604279
0.008960000000000001	15270.473574784071	7.621756144486834e6	83424.58518615605
0.009600000000000001	15270.870667786203	7.621753661801192e6	88293.1054626669
0.01024	15271.268351554818	7.621751175209681e6	93161.62259778203
0.01088	15271.666617330648	7.621748684821886e6	98030.13657539622
0.01152	15272.065435260347	7.621746190940349e6	102898.64736107897
0.01216	15272.464817911237	7.621743693282676e6	107767.15495604278
0.0128	15272.864773005094	7.621741191987295e6	112635.659361348
0.01344	15273.265283990035	7.621738687018567e6	117504.16055210275
0.01408	15273.666398671527	7.6217361781897275e6	122372.6585646896
0.01472	15274.06809548691	7.621733665492665e6	127241.15336917338
0.01536	15274.470346156058	7.621731149257356e6	132109.64493423208
0.016	15274.873199229756	7.621728629049941e6	136978.13329284114
0.016640000000000002	15275.276625536073	7.621726105083815e6	141846.61841108184
0.017280000000000004	15275.680603750208	7.6217235775649445e6	146715.10026323967
0.017920000000000005	15276.085204023122	7.621721046056419e6	151583.5789024981
0.018560000000000007	15276.490374421037	7.621718510749783e6	156452.0542725878
0.01920000000000001	15276.896108042438	7.621715971882864e6	161320.52636291907
0.01984000000000001	15277.30242671078	7.621713429144317e6	166188.99518078816
0.020480000000000012	15277.709363097165	7.621710882311403e6	171057.46074507857
0.021120000000000014	15278.116884502098	7.621708331761971e6	175925.92302271436
0.021760000000000015	15278.524982258134	7.62170577742038e6	180794.3819953118
0.022400000000000017	15278.933689759822	7.621703219142206e6	185662.83768389476
0.02304000000000002	15279.342939715309	7.621700657362013e6	190531.2900240052
0.02368000000000002	15279.752838969553	7.621698091287448e6	195399.73909342967
0.024320000000000022	15280.163299568538	7.621695521539496e6	200268.18481196376
0.024960000000000024	15280.574372689582	7.62169294780252e6	205136.62721349834
0.025600000000000026	15280.98605113691	7.621690370186565e6	210005.06628500405
0.026240000000000027	15281.398288452314	7.621687788915309e6	214873.50197850124
0.02688000000000003	15281.811167362934	7.621685203459649e6	219741.93435217981
0.02752000000000003	15282.224645008906	7.621682614085133e6	224610.36336240137
0.028160000000000032	15282.638696391597	7.621680020990044e6	229478.7889817811
0.028800000000000034	15283.05336826883	7.62167742384243e6	234347.21123792493
0.029440000000000036	15283.468662970423	7.621674822609839e6	239215.63012316648
0.030080000000000037	15283.884527324948	7.62167221766153e6	244084.0455880021
0.03072000000000004	15284.301026565547	7.6216696086727325e6	248952.45767745608
0.03136000000000004	15284.71813984028	7.621666995573584e6	253820.8663601628
0.03200000000000004	15285.135855858893	7.621664378569193e6	258689.27162268592
0.032640000000000044	15285.554174264464	7.621661757667227e6	263557.6734562751
0.033280000000000046	15285.973121141238	7.621659132686491e6	268426.0718714764
0.03392000000000005	15286.39266275567	7.6216565037896335e6	273294.46683217975
0.03456000000000005	15286.812825558396	7.621653870797073e6	278162.8583490543
0.03520000000000005	15287.233621083644	7.621651233732188e6	283031.2464249949
0.03584000000000005	15287.655019091173	7.62164859273484e6	287899.631026824
0.036480000000000054	15288.077050783842	7.621645947649748e6	292768.01217023446
0.037120000000000056	15288.499708592159	7.621643298377575e6	297636.38983518525
0.03776000000000006	15288.92296007686	7.6216406452897545e6	302504.763995246
0.03840000000000006	15289.346850922564	7.621637988085092e6	307373.1346743151
0.03904000000000006	15289.771353265955	7.621635326830982e6	312241.50183911645
0.03968000000000006	15290.196498757268	7.621632661404872e6	317109.86550623237
0.040320000000000064	15290.62229784312	7.621629991679367e6	321978.2256713066
0.040960000000000066	15291.048692207616	7.621627318017361e6	326846.58228376636
0.04160000000000007	15291.47575210775	7.621624640142131e6	331714.93539073324
0.04224000000000007	15291.903411456884	7.621621958265704e6	336583.2849285008
0.04288000000000007	15292.331720203387	7.621619272201209e6	341451.6309280295
0.04352000000000007	15292.760643993051	7.621616582077329e6	346319.9733527724
0.044160000000000074	15293.190226338904	7.621613887715987e6	351188.3122274823
0.044800000000000076	15293.620433995591	7.621611189183724e6	356056.647513984
0.04544000000000008	15294.05129074133	7.621608486542849e6	360924.9792285977
0.04608000000000008	15294.482783496194	7.621605779642893e6	365793.30734277784
0.04672000000000008	15294.914906862743	7.621603068601494e6	370661.6318474765
0.04736000000000008	15295.347694151616	7.621600353260615e6	375529.9527577799
0.048000000000000084	15295.78113128151	7.62159763370997e6	380398.27005505917
0.048640000000000086	15296.21519874165	7.621594910026742e6	385266.58371517627
0.04928000000000009	15296.649922949744	7.621592182068493e6	390134.8937470828
0.04992000000000009	15297.08528887849	7.621589449889824e6	395003.2001297584
0.05056000000000009	15297.521338069266	7.621586713224265e6	399871.502879836
0.05120000000000009	15297.957991879915	7.621583972617056e6	404739.8019406897
0.051840000000000094	15298.395345207271	7.621581227469114e6	409608.09736251127
0.052480000000000096	15298.83331696616	7.621578478259663e6	414476.3890835596
0.0531200000000001	15299.271952124209	7.621575724755294e6	419344.6771250293
0.0537600000000001	15299.711271899247	7.6215729667766895e6	424212.96148783754
0.0544000000000001	15300.151227767054	7.621570204668151e6	429081.24213492475
0.0550400000000001	15300.591857293977	7.621567437979332e6	433949.51906785177
0.055680000000000104	15301.033131616652	7.621564667212608e6	438817.79227724706
0.056320000000000106	15301.475093691375	7.6215618919167165e6	443686.061769165
0.05696000000000011	15301.917715893718	7.621559112324659e6	448554.3275208098
0.05760000000000011	15302.360984584137	7.621556328495692e6	453422.5895132248
0.05824000000000011	15302.80493388626	7.621553540213186e6	458290.8477565535
0.05888000000000011	15303.249584431773	7.621550747347746e6	463159.1022527366
0.059520000000000114	15303.694873971279	7.621547950267792e6	468027.35295501235
0.060160000000000116	15304.140844392292	7.62154514881953e6	472895.5998841775
0.06080000000000012	15304.587508209697	7.621542342769222e6	477763.8430280802
0.06144000000000012	15305.034831375255	7.621539532475799e6	482632.0823666496
0.06208000000000012	15305.482828683767	7.621536717697374e6	487500.317889333
0.06272000000000012	15305.931504784972	7.6215338984995745e6	492368.5495946991
0.06336000000000012	15306.380873307782	7.621531074718058e6	497236.7774753121
0.06400000000000013	15306.830926227372	7.621528246562552e6	502105.00152695307
0.06464000000000013	15307.281662635509	7.621525413925716e6	506973.221732122
0.06528000000000013	15307.733075740513	7.621522576793651e6	511841.43807364674
0.06592000000000013	15308.185192567618	7.621519735008356e6	516709.6505564254
0.06656000000000013	15308.6379699789	7.621516888970254e6	521577.85915655823
0.06720000000000013	15309.091470452679	7.621514038195674e6	526446.0638903886
0.06784000000000014	15309.545625890394	7.621511183187039e6	531314.2647180398
0.06848000000000014	15310.000501294471	7.621508323390218e6	536182.4616527291
0.06912000000000014	15310.456086162674	7.621505458947192e6	541050.6546839181
0.06976000000000014	15310.912344769022	7.62150259013327e6	545918.843787296
0.07040000000000014	15311.369317268021	7.621499716610578e6	550787.0289667181
0.07104000000000014	15311.82700069931	7.621496838420108e6	555655.2102119352
0.07168000000000015	15312.285343583417	7.6214939559366405e6	560523.3874916949
0.07232000000000015	15312.744431615622	7.621491068552799e6	565391.5608320608
0.07296000000000015	15313.204219134901	7.621488176661816e6	570259.7302085541
0.07360000000000015	15313.664699425972	7.6214852801076155e6	575127.8955934698
0.07424000000000015	15314.12589428113	7.621482379006267e6	579996.0570053161
0.07488000000000015	15314.587800399939	7.621479473137191e6	584864.21441442
0.07552000000000016	15315.050407728839	7.621476562682809e6	589732.3678147441
0.07616000000000016	15315.513730850966	7.621473647564458e6	594600.5172036197
0.07680000000000016	15315.977777743363	7.621470727728851e6	599468.6625739896
0.07744000000000016	15316.442538009358	7.621467803208059e6	604336.8039082992
0.07808000000000016	15316.908031550656	7.621464873876479e6	609204.941204724
0.07872000000000016	15317.374222270675	7.621461939912381e6	614073.0744333974
0.07936000000000017	15317.841148607573	7.621459001189372e6	618941.2036094439
0.08000000000000017	15318.30880078236	7.621456057703949e6	623809.328713037
0.08064000000000017	15318.77716522099	7.621453109521283e6	628677.4497264151
0.08128000000000017	15319.246269438856	7.6214501564522125e6	633545.566649096
0.08192000000000017	15319.716100843814	7.621447198703728e6	638413.6794756734
0.08256000000000017	15320.186651279677	7.621444236143835e6	643281.7881773863
0.08320000000000018	15320.657941284	7.621441268814673e6	648149.8927659513
0.08384000000000018	15321.129960331617	7.621438296654307e6	653017.9932159559
0.08448000000000018	15321.602715986766	7.621435319657152e6	657886.0895231777
0.08512000000000018	15322.076237063755	7.621432337627904e6	662754.1816866534
0.08576000000000018	15322.550479218022	7.621429350952098e6	667622.2696877735
0.08640000000000018	15323.025437013917	7.62142635947479e6	672490.3534978791
0.08704000000000019	15323.501173739407	7.621423362925214e6	677358.4331405892
0.08768000000000019	15323.977617989593	7.621420361750786e6	682226.5085787546
0.08832000000000019	15324.454812880072	7.621417355628287e6	687094.5798128983
0.08896000000000019	15324.932793847027	7.621414344368897e6	691962.646847565
0.0896000000000002	15325.411504176036	7.621411328321726e6	696830.70965103
0.0902400000000002	15325.89095695051	7.621408307357862e6	701698.7682129702
0.0908800000000002	15326.371188676909	7.621405281296427e6	706566.8225392707
0.0915200000000002	15326.852134772333	7.621402250570446e6	711434.8725996068
0.0921600000000002	15327.333853059607	7.621399214741942e6	716302.9183957805
0.0928000000000002	15327.816354933866	7.621396173761085e6	721170.9599222263
0.0934400000000002	15328.299566124515	7.621393128131236e6	726038.99714725
0.0940800000000002	15328.78358454467	7.621390077215674e6	730907.0300893629
0.0947200000000002	15329.2683466711	7.621387021436074e6	735775.0587193009
0.09536000000000021	15329.75388418039	7.621383960479844e6	740643.0830251445
0.09600000000000021	15330.240217357343	7.621380894351795e6	745511.1030142651
0.09664000000000021	15330.727263238066	7.621377823572231e6	750379.1186505408
0.09728000000000021	15331.215116336332	7.621374747412283e6	755247.1299380877
0.09792000000000022	15331.703720064887	7.621371666377432e6	760115.1368634759
0.09856000000000022	15332.193104965503	7.62136858016951e6	764983.1394140486
0.09920000000000022	15332.683288847193	7.621365488687993e6	769851.1375844441
0.09984000000000022	15333.174206940135	7.6213623924950985e6	774719.1313608316
0.10048000000000022	15333.66594263041	7.621359290771656e6	779587.1207254527
